Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extra Trees Regressor,1661.672,7547842.2414,2746.9706,0.8378,0.0814,0.0493,3.3333
Random Forest Regressor,1682.4961,7725136.1244,2779.1333,0.834,0.0824,0.0499,8.12
Light Gradient Boosting Machine,1787.1025,8051768.7167,2837.3534,0.8269,0.0841,0.0531,0.4233
Gradient Boosting Regressor,1941.3231,8936800.637,2989.2397,0.8079,0.0887,0.0578,4.83
Bayesian Ridge,2112.4883,9796425.9815,3129.694,0.7894,0.0925,0.0627,0.0933
Ridge Regression,2112.403,9796432.4274,3129.6947,0.7894,0.0925,0.0627,0.5
Linear Regression,2112.3967,9796689.4591,3129.7355,0.7894,0.0925,0.0627,1.2867
Lasso Regression,2111.8892,9796759.1669,3129.7473,0.7894,0.0925,0.0627,0.9167
Lasso Least Angle Regression,2112.4971,9796806.8732,3129.7562,0.7894,0.0925,0.0627,0.0733
K Neighbors Regressor,2005.6711,9898763.0,3145.9417,0.7872,0.0937,0.0598,0.92
Huber Regressor,2038.6132,10113371.5991,3179.813,0.7826,0.0936,0.06,0.27
Passive Aggressive Regressor,2033.3356,10473622.1723,3236.0264,0.7749,0.0952,0.0598,0.1133
Orthogonal Matching Pursuit,2160.0679,10640651.2158,3261.7262,0.7713,0.0959,0.0637,0.0667
Elastic Net,2436.0384,10826048.5555,3290.1252,0.7673,0.0982,0.0735,0.5133
Decision Tree Regressor,2232.371,15552897.9011,3943.5916,0.6657,0.1163,0.0655,0.3033
AdaBoost Regressor,3988.8652,21031543.9727,4585.6695,0.548,0.1402,0.1221,2.1867
Dummy Regressor,5635.9531,46526810.6667,6821.0098,-0.0001,0.2042,0.1743,0.0633
Least Angle Regression,27107504.1683,1665036956143432.0,34892269.6739,-35973695.0658,5.7676,786.8099,0.0767
